description,category
Pension Payment Acm,Salary/Income
octopus energy ltd ref82452,Utilities
Amzn Mktp Uk,Shopping
Homelet Rent Guarantee,Rent/Mortgage
STAGECOACH BUS 6700,Transport
RENT PAYMENT L JO,Rent/Mortgage
MARKS&SPENCER FOOD LONDON,Groceries
starbucks birmingham,Dining
MXdonalds Bristol,Dining
SANTANDER MORT,Rent/Mortgage
COUNCIL TAX BIRMINGHAM,Utilities
THE GYM GROUP 7371,Entertainment
fp to l jones ref 7586,Transfers
LIDL GB LEED,Groceries
AMZN  MKTP  UK,Shopping
PRIMARK  EDINBURGH,Shopping
John Lewis London,Shopping
Trainline.Com Ticket,Transport
DELIVEROO.CO,Dining
Playstation  Network,Entertainment
PRET A MANG,Dining
MICROSOFT*XBOX REF2379,Subscriptions
IKEA LTD EDINBURGH REF71824,Shopping
Ticketmaster Uk Ref29357,Entertainment
british gas energy,Utilities
REVOLUT TRANSFER 2512,Transfers
Octopus Ener#y Ltd Ref45935,Utilities
Trainline.Com TickeX Ref15243,Transport
DVLA TA# 543,Transport
TFL TRAVEL#CHARGE 2288 REF1700,Transport
OCADO LTD REF 8372,Groceries
JOHN LEWIS LIVERPOOL,Shopping
NATIONAL EXPRESS BIRMINGHAM,Transport
Pure Gym Leeds,Entertainment
dvla tax 597 ref61822,Transport
OCADO LTD REF 9588,Groceries
ZARA.COM UK,Shopping
AMZN MKTP,Shopping
P2P PAYMENT A PATEL REF37054,Transfers
HALIFAX MORTGAGE PYMT,Rent/Mortgage
P2P  PAYMENT  J  SMITH,Transfers
Steamgames.Com 4428 Ref91924,Entertainment
Co-Op  Food  Lon,Groceries
UBER *TRIP*REF82177,Transport
NYTIMES DIGITAL REF46162,Subscriptions
Transfer T,Transfers
ASDA SUPERSTO REF10080,Groceries
Ikea Ltd Manchester,Shopping
EE LIMITED MOBIL,Utilities
THAMES WATER 8401 REF30568,Utilities
RIGHTMOVE RENT REF 5474,Rent/Mortgage
PURE GYM GLASGOW,Entertainment
OC#DO LTD,Groceries
P2P PAYMENT R SINGH REF51322,Transfers
Landlord Rent Bristol Ref67820,Rent/Mortgage
disney plus ref50786,Subscriptions
VODAFONE L REF90802,Utilities
Cineworld Birmingham,Entertainment
APPLE.COM/BILL,Shopping
Faster Payments Out,Transfers
TRAINLINE.COM  TICKET,Transport
APPLE.COM/BILL ICLOUD,Subscriptions
ALDI STORES 7326,Groceries
STARBUCKS LONDON,Dining
Bank  Transfer  S  Brown,Transfers
rent payment r singh,Rent/Mortgage
ARGOS LTD LEEDS REF51947,Shopping
Standing Order To L Jones,Transfers
NANDOS BRISTOL,Dining
santander mortgage ref91613,Rent/Mortgage
Waitrose Liverpool,Groceries
Shell Petrol Birmingham,Transport
COSTA COFFEE 1562,Dining
LANDLORD  RENT  EDINBURGH  REF17948,Rent/Mortgage
BT  GROUP  P  REF5066,Utilities
MORRISONX BRISTOL 1124 REF6992,Groceries
Transfer To S Brown,Transfers
just eat leeds,Dining
halifax mortgage pymt ref14682,Rent/Mortgage
