transaction_amount,recipient_is_new_payee,hours_since_last_login,time_of_day,is_first_payment_to_recipient,deviation_from_avg_transaction_zscore,num_payments_today,account_age_days,is_international,is_fraud
146.22,0,5.74,17,1,1.728,0,776.4,0,0
15.06,0,20.81,5,0,-0.843,0,408.7,0,0
21.69,0,26.24,9,0,0.218,0,1197.3,0,0
54.93,0,12.64,16,0,-0.584,2,828.1,0,0
35.18,0,11.86,15,0,0.838,0,1415.9,0,0
51.95,0,6.28,13,0,-0.304,1,601.4,0,0
22.78,0,0.84,12,0,-0.602,2,762.6,0,0
80.01,0,19.54,8,0,0.476,1,867.6,0,0
58.74,0,3.13,14,0,-1.018,0,1272.3,1,0
106.36,0,51.32,14,0,-0.331,0,697.0,0,0
79.07,0,54.59,14,0,0.552,1,1204.2,0,0
79.49,0,18.05,11,0,1.205,0,462.6,0,0
19.5,0,21.64,9,0,-0.77,1,924.5,0,0
101.36,1,10.86,14,0,-0.489,3,1738.2,0,0
50.34,0,2.15,15,0,0.282,0,2068.9,0,0
57.88,0,42.58,0,0,-1.598,0,1521.3,0,0
162.56,0,3.8,23,0,1.086,1,403.0,0,0
36.18,0,0.05,12,0,-0.8,3,883.5,0,0
210.29,0,46.84,8,0,-0.35,1,937.8,1,0
227.65,0,37.02,10,0,0.209,1,1434.6,0,0
126.45,0,1.02,2,1,0.041,1,1003.2,0,0
28.98,0,29.07,11,0,-0.771,1,582.3,0,0
10.4,1,21.11,13,0,1.377,0,1532.2,0,0
166.84,0,28.77,16,0,-2.06,1,1950.0,0,0
73.31,0,5.87,10,0,-0.898,0,1336.5,0,0
35.4,0,14.17,10,0,-0.509,1,682.4,1,0
180.82,0,25.61,11,0,-0.76,1,2159.0,0,0
32.06,1,5.26,13,0,0.976,2,1390.8,0,0
46.5,0,15.5,14,0,-1.327,3,1288.6,0,0
104.18,0,15.74,17,0,1.246,2,1911.5,0,0
25.88,1,28.34,13,0,-0.223,0,1408.0,0,0
60.76,0,4.92,16,0,-1.089,0,899.6,0,0
168.3,0,52.03,18,0,-1.681,0,1801.9,0,0
79.79,0,0.13,22,0,-0.172,0,612.2,0,0
192.54,0,1.03,15,0,-0.562,2,667.6,0,0
174.79,0,7.05,12,0,0.189,0,743.1,0,0
67.13,1,7.83,16,0,-0.36,4,1018.0,0,0
9.15,0,3.96,14,0,0.765,1,1087.3,0,0
26.05,0,54.47,14,0,-0.114,3,871.6,0,0
127.59,0,2.14,19,0,-0.339,0,892.5,0,0
17.86,0,29.09,17,0,0.779,0,1112.0,0,0
50.52,0,18.89,10,0,0.183,1,612.8,0,0
88.92,0,3.33,13,0,0.62,0,1238.7,0,0
232.56,0,6.74,16,0,0.919,1,269.3,0,0
40.9,0,0.94,14,0,-0.235,2,956.1,0,0
38.59,0,4.06,12,1,0.031,1,740.4,0,0
63.78,0,28.78,15,0,0.675,4,2118.1,0,0
89.86,0,23.33,12,0,-1.961,1,840.3,0,0
58.49,0,0.9,16,0,-0.081,1,1020.2,0,0
162.7,0,21.45,16,0,-0.18,0,860.0,0,0
33.81,0,0.6,18,0,0.299,3,559.1,0,0
204.56,1,0.1,23,1,2.39,7,82.0,0,1
73.86,0,2.03,16,1,-0.641,2,548.1,0,0
97.36,0,1.13,16,0,0.876,0,500.5,0,0
47.46,0,11.04,17,1,-0.59,1,949.6,0,0
136.15,0,1.62,17,0,-0.367,2,824.7,0,0
75.69,1,2.89,11,0,-0.532,0,399.7,0,0
130.39,0,13.17,18,0,0.984,3,1988.5,0,0
78.65,0,23.41,14,0,-1.668,1,1288.9,0,0
91.83,0,16.14,18,0,1.43,0,1029.6,0,0
38.96,0,3.31,11,0,1.179,1,321.8,1,0
39.01,1,121.35,11,0,-0.452,0,1148.1,0,0
188.81,1,3.04,15,0,0.822,0,1002.9,0,0
114.46,0,8.65,14,0,0.104,3,1408.6,0,0
27.95,0,3.99,10,0,1.322,0,674.3,0,0
77.77,0,4.89,10,0,0.761,0,762.5,0,0
8.87,0,12.62,10,0,1.755,2,1074.3,0,0
40.94,1,47.84,16,0,-1.25,0,748.2,0,0
319.56,1,1.57,14,1,2.592,2,121.0,0,1
150.94,0,48.04,3,0,0.153,0,1140.8,0,0
59.96,0,10.35,9,0,-1.379,2,551.3,0,0
73.72,0,5.08,19,0,-0.415,1,915.0,0,0
5.13,0,6.97,21,0,1.8,2,679.5,0,0
47.78,0,16.82,8,0,0.375,2,1376.7,0,0
88.9,0,1.21,9,0,0.788,2,2211.1,0,0
99.04,0,37.39,11,0,0.411,0,1958.1,0,0
151.11,0,0.88,15,0,0.36,1,374.2,0,0
55.77,0,18.89,10,0,-0.418,2,1186.3,0,0
57.93,0,107.45,19,0,-0.567,2,674.2,0,0
21.49,0,6.4,13,0,-0.439,1,543.9,0,0
56.05,1,26.28,14,0,-2.184,4,1171.4,0,0
22.82,0,25.49,10,0,-0.066,1,544.1,0,0
13.86,0,10.73,11,0,0.192,0,1572.1,0,0
26.51,0,1.53,16,0,-0.495,2,1182.6,0,0
612.53,1,11.94,5,1,2.96,9,193.6,1,1
240.42,0,10.45,15,0,-0.105,1,1424.7,0,0
52.99,1,9.33,10,0,0.42,0,1075.3,0,0
80.39,0,11.17,6,0,0.708,1,511.5,1,0
43.1,0,43.24,10,0,-0.958,0,809.9,0,0
14.56,0,3.48,12,1,-0.636,0,1699.0,0,0
147.78,0,21.9,2,0,0.602,1,899.6,0,0
10.52,0,13.66,19,0,0.471,0,870.0,0,0
41.61,0,10.54,11,0,1.076,1,1784.5,0,0
63.66,0,63.97,13,0,1.042,1,1059.1,0,0
81.12,1,29.16,15,0,1.932,2,1616.2,0,0
35.96,0,52.39,8,0,-0.234,2,906.5,0,0
13.98,0,38.91,10,0,1.263,2,603.8,0,0
33.75,0,17.9,19,0,-0.736,1,290.8,0,0
35.29,0,13.1,16,0,1.915,1,896.8,0,0
34.57,0,50.58,10,0,0.364,4,1004.1,0,0
152.1,0,10.35,13,0,0.434,1,1545.2,0,0
