sme_id,month,monthly_inflow,monthly_outflow,overdraft_days_used,late_supplier_payments,inflow_volatility_3m,cash_runway_months,distressed_within_6_months
SME-000,1,40497.66,34466.89,1,0,0.0995,7.91,0
SME-000,2,45443.71,35027.66,2,1,0.0576,8.35,0
SME-000,3,37618.76,31035.76,1,0,0.0785,8.59,0
SME-000,4,39540.48,28563.2,3,1,0.0815,7.9,0
SME-000,5,44062.3,38873.98,1,0,0.0668,9.27,0
SME-000,6,36382.18,28951.73,2,1,0.0788,7.65,0
SME-000,7,37275.08,33257.08,0,0,0.0874,10.06,0
SME-000,8,45536.92,34747.23,1,0,0.1037,8.23,0
SME-000,9,39441.26,33322.69,2,1,0.0858,8.19,0
SME-000,10,42647.83,45306.44,1,1,0.0585,7.93,0
SME-000,11,38821.51,43065.05,2,1,0.0416,8.38,0
SME-000,12,42725.64,33938.36,0,0,0.044,7.79,0
SME-001,1,22836.43,21230.62,2,0,0.1658,11.72,0
SME-001,2,28788.4,26436.58,2,1,0.1153,11.28,0
SME-001,3,28490.45,22410.1,3,0,0.1025,11.67,0
SME-001,4,28276.02,25678.97,1,0,0.0074,11.02,0
SME-001,5,19576.56,15827.4,3,0,0.1632,11.75,0
SME-001,6,21697.19,18739.81,3,1,0.1598,11.62,0
SME-001,7,23800.03,18771.66,0,0,0.0795,12.87,0
SME-001,8,30196.46,24486.55,3,0,0.1433,11.09,0
SME-001,9,21186.96,14709.59,3,0,0.151,11.0,0
SME-001,10,22914.5,16670.33,1,0,0.1576,10.88,0
SME-001,11,30028.13,38226.57,0,1,0.1548,12.44,0
SME-001,12,20222.72,17639.87,1,0,0.1696,11.41,0
SME-002,1,20765.34,15914.38,2,0,0.0727,4.55,0
SME-002,2,20287.66,15261.69,0,0,0.0116,5.71,0
SME-002,3,27974.71,21220.24,0,0,0.1528,4.7,0
SME-002,4,19207.36,16048.0,0,1,0.1736,5.06,0
SME-002,5,23918.45,15161.38,4,0,0.1512,4.64,0
SME-002,6,27578.6,14678.65,2,0,0.1454,3.59,0
SME-002,7,23498.83,20938.42,1,0,0.0733,4.52,0
SME-002,8,19368.06,13475.1,3,0,0.1427,5.51,0
SME-002,9,23866.84,19090.71,2,1,0.0917,4.98,0
SME-002,10,21853.04,18214.95,0,1,0.0848,3.69,0
SME-002,11,22234.78,13990.38,5,1,0.0386,4.73,0
SME-002,12,26384.45,20556.55,2,1,0.0874,3.42,0
SME-003,1,31091.31,25603.59,2,2,0.0614,4.7,0
SME-003,2,28924.95,21128.35,0,1,0.0361,5.1,0
SME-003,3,36334.3,24723.29,3,3,0.0969,6.45,0
SME-003,4,28692.5,16784.02,2,0,0.1133,4.29,0
SME-003,5,24782.26,15213.58,1,2,0.1603,3.9,0
SME-003,6,29754.13,20917.14,1,2,0.0771,5.59,0
SME-003,7,30491.5,24173.81,1,1,0.0895,4.95,0
SME-003,8,31763.63,22888.52,0,0,0.0271,4.07,0
SME-003,9,24627.22,15336.02,1,3,0.1073,5.9,0
SME-003,10,29244.14,25593.12,2,1,0.1035,4.97,0
SME-003,11,33044.67,30221.9,1,1,0.1188,5.1,0
SME-003,12,22851.84,19003.85,0,0,0.1482,4.58,0
SME-004,1,30383.95,31216.17,1,1,0.1244,10.98,0
SME-004,2,30475.36,26304.08,1,0,0.0015,10.4,0
SME-004,3,29537.84,29469.72,2,0,0.014,9.91,0
SME-004,4,23120.19,15807.59,1,0,0.118,11.43,0
SME-004,5,33719.78,26342.29,3,0,0.1514,10.18,0
SME-004,6,33521.43,25628.23,2,3,0.1644,10.27,0
SME-004,7,25896.76,23909.99,2,0,0.1173,10.96,0
SME-004,8,30403.57,25758.18,1,0,0.1045,9.36,0
SME-004,9,27557.11,19027.88,2,1,0.0666,8.73,0
SME-004,10,26766.64,31379.29,2,1,0.0553,10.42,0
SME-004,11,28536.71,27512.22,1,0,0.0262,10.86,0
SME-004,12,36281.09,28315.83,2,0,0.1353,10.12,0
SME-005,1,57447.0,44696.3,1,0,0.111,8.69,0
SME-005,2,56040.95,56024.14,1,0,0.0124,7.88,0
SME-005,3,62563.62,53337.48,2,0,0.0478,8.73,0
SME-005,4,66306.23,60488.36,3,1,0.0688,7.77,0
SME-005,5,50768.93,39749.27,3,0,0.1106,8.74,0
SME-005,6,59095.8,47597.13,1,1,0.1081,8.48,0
SME-005,7,53279.59,47479.46,3,3,0.0641,7.75,0
SME-005,8,66788.18,73933.37,2,2,0.0926,9.34,0
SME-005,9,47955.06,35819.72,3,1,0.1415,8.02,0
SME-005,10,72235.62,58357.35,3,0,0.1669,8.63,0
SME-005,11,52284.9,46847.76,5,0,0.1839,9.14,0
SME-005,12,56816.08,49681.61,2,0,0.1413,8.11,0
SME-006,1,83602.68,61121.75,2,1,0.0952,12.85,0
SME-006,2,62966.36,40394.61,3,0,0.1408,12.87,0
SME-006,3,45918.85,35946.33,2,0,0.2401,11.92,0
SME-006,4,63521.98,50660.09,2,0,0.1422,11.6,0
SME-006,5,58364.68,40199.1,2,0,0.1321,12.79,0
SME-006,6,54379.6,30681.02,2,0,0.0637,12.99,0
SME-006,7,61441.08,62766.12,3,0,0.0498,13.22,0
SME-006,8,54390.22,39621.03,0,1,0.0586,12.28,0
SME-006,9,55130.4,43939.56,1,1,0.0555,12.1,0
SME-006,10,42280.24,28907.69,2,0,0.1164,11.96,0
SME-006,11,58043.69,50527.68,1,0,0.1322,12.41,0
SME-006,12,64059.83,49087.5,0,1,0.1676,12.41,0
SME-007,1,20564.45,15990.75,1,0,0.1515,7.81,0
SME-007,2,29114.84,23692.22,1,0,0.1721,8.56,0
SME-007,3,23923.02,20099.17,0,1,0.1434,8.74,0
SME-007,4,26566.85,17206.17,1,1,0.0799,7.29,0
SME-007,5,24059.93,21162.63,1,2,0.0489,8.15,0
SME-007,6,20585.22,20705.77,3,1,0.1033,9.0,0
SME-007,7,25936.08,22296.4,0,0,0.0942,7.33,0
SME-007,8,24008.07,17665.88,3,1,0.0941,8.32,0
SME-007,9,24411.99,16841.51,0,0,0.0335,7.6,0
SME-007,10,23559.17,18355.63,2,2,0.0145,7.72,0
SME-007,11,23232.12,16709.75,1,2,0.021,8.86,0
SME-007,12,27521.68,24485.06,1,1,0.0787,8.52,0
SME-008,1,54496.46,46616.15,0,1,0.1778,11.31,0
